iter	Passed	Remaining
0	17	17209
1	22	11302
2	27	9140
3	31	7955
4	36	7184
5	40	6747
6	45	6439
7	49	6165
8	54	5980
9	58	5814
10	62	5617
11	66	5452
12	70	5324
13	73	5205
14	77	5095
15	81	5001
16	84	4908
17	88	4851
18	92	4796
19	96	4727
20	100	4678
21	104	4637
22	107	4587
23	111	4541
24	115	4506
25	119	4481
26	123	4452
27	127	4425
28	131	4390
29	135	4365
30	138	4342
31	142	4309
32	145	4268
33	148	4229
34	152	4203
35	155	4169
36	159	4161
37	163	4149
38	167	4121
39	171	4108
40	174	4088
41	179	4084
42	182	4052
43	185	4035
44	189	4021
45	193	4009
46	196	3989
47	200	3979
48	205	3980
49	209	3972
50	212	3957
51	216	3942
52	220	3937
53	223	3913
54	226	3895
55	229	3876
56	233	3866
57	236	3846
58	239	3824
59	242	3801
60	245	3779
61	249	3769
62	253	3767
63	256	3752
64	259	3737
65	263	3725
66	266	3715
67	270	3703
68	273	3687
69	276	3675
70	281	3683
71	287	3699
72	290	3685
73	293	3668
74	296	3655
75	299	3640
76	302	3624
77	305	3610
78	308	3596
79	311	3584
80	314	3572
81	318	3561
82	321	3546
83	323	3531
84	326	3517
85	329	3504
86	332	3490
87	335	3472
88	337	3459
89	341	3450
90	343	3434
91	346	3421
92	349	3409
93	352	3396
94	355	3387
95	359	3385
96	362	3374
97	365	3360
98	367	3347
99	371	3342
100	374	3335
101	377	3327
102	382	3327
103	385	3319
104	388	3315
105	391	3305
106	394	3296
107	398	3289
108	401	3279
109	404	3269
110	406	3258
111	409	3248
112	412	3237
113	415	3227
114	417	3216
115	420	3205
116	423	3194
117	426	3186
118	429	3176
119	431	3166
120	434	3155
121	437	3146
122	439	3136
123	442	3128
124	445	3118
125	448	3109
126	451	3100
127	453	3092
128	456	3082
129	459	3073
130	461	3064
131	464	3055
132	467	3046
133	470	3040
134	473	3031
135	476	3025
136	478	3016
137	481	3008
138	484	3002
139	487	2996
140	490	2988
141	494	2986
142	496	2978
143	499	2971
144	503	2966
145	506	2959
146	508	2950
147	511	2943
148	514	2937
149	516	2929
150	520	2924
151	523	2918
152	526	2913
153	529	2907
154	532	2900
