iter	Passed	Remaining
155	534	2894
156	537	2886
157	540	2881
158	543	2876
159	546	2869
160	549	2864
161	552	2860
162	556	2856
163	559	2850
164	561	2843
165	565	2841
166	568	2836
167	571	2829
168	574	2826
169	577	2819
170	580	2813
171	583	2807
172	586	2801
173	589	2796
174	592	2791
175	594	2784
176	597	2777
177	600	2772
178	603	2765
179	606	2761
180	609	2756
181	611	2750
182	614	2743
183	617	2738
184	620	2731
185	623	2727
186	625	2720
187	628	2713
188	631	2709
189	634	2702
190	636	2696
191	639	2690
192	641	2684
193	644	2677
194	647	2671
195	649	2665
196	652	2660
197	655	2655
198	658	2650
199	661	2644
200	663	2639
201	666	2633
202	669	2627
203	672	2623
204	675	2617
205	678	2616
206	681	2611
207	684	2607
208	687	2602
209	690	2597
210	693	2591
211	695	2586
212	698	2580
213	700	2573
214	703	2568
215	705	2561
216	708	2556
217	710	2549
218	713	2543
219	715	2538
220	718	2531
221	720	2526
222	723	2520
223	725	2514
224	728	2509
225	731	2503
226	733	2497
227	736	2493
228	738	2486
229	740	2480
230	743	2474
231	746	2469
232	748	2463
233	751	2461
234	754	2455
235	756	2450
236	759	2445
237	762	2441
238	765	2437
239	768	2432
240	770	2427
241	773	2422
242	775	2416
243	778	2412
244	781	2407
245	783	2402
246	786	2397
247	788	2392
248	791	2387
249	793	2381
250	796	2376
251	798	2371
252	801	2366
253	803	2361
254	806	2356
255	809	2351
256	812	2349
257	815	2345
258	818	2341
259	820	2336
260	823	2330
261	825	2325
262	828	2320
263	830	2315
264	833	2310
265	835	2305
266	837	2300
267	840	2294
268	843	2291
269	845	2287
270	848	2281
271	850	2277
272	853	2272
273	855	2267
274	858	2262
275	860	2257
276	863	2252
277	865	2248
278	868	2243
279	870	2238
280	872	2233
281	875	2229
282	877	2223
283	880	2219
284	882	2214
285	885	2210
286	887	2205
287	890	2200
288	892	2195
289	895	2191
290	897	2187
291	900	2183
292	903	2179
293	905	2175
294	908	2171
295	910	2166
296	913	2161
297	916	2158
298	918	2153
299	920	2148
300	923	2145
301	926	2140
302	928	2135
303	931	2131
304	933	2127
305	936	2123
306	938	2119
307	941	2114
308	943	2110
309	945	2105
310	948	2101
311	951	2098
312	954	2094
313	956	2089
314	959	2086
315	962	2082
316	965	2080
317	968	2076
318	970	2072
319	973	2068
320	976	2064
321	978	2059
322	981	2056
323	983	2052
324	986	2048
325	988	2044
326	991	2040
327	993	2036
328	996	2032
329	999	2028
330	1001	2023
331	1003	2019
332	1007	2017
333	1009	2013
334	1012	2009
335	1014	2005
336	1017	2001
337	1019	1997
338	1022	1993
339	1024	1988
340	1027	1984
341	1029	1981
342	1032	1977
343	1035	1973
344	1037	1969
345	1039	1965
346	1042	1961
347	1044	1957
348	1047	1953
349	1049	1949
350	1052	1946
351	1054	1942
352	1057	1937
353	1059	1933
354	1062	1930
355	1065	1927
356	1068	1923
357	1070	1920
358	1073	1917
359	1076	1914
360	1080	1911
361	1083	1908
362	1086	1905
363	1089	1902
364	1092	1899
365	1094	1896
366	1097	1893
367	1100	1890
368	1103	1887
369	1106	1884
370	1109	1881
371	1112	1877
372	1114	1874
373	1117	1870
374	1120	1867
375	1123	1863
376	1125	1859
377	1127	1856
378	1130	1852
379	1133	1849
380	1136	1846
381	1139	1842
382	1141	1839
383	1145	1837
384	1148	1833
385	1151	1831
386	1154	1828
387	1156	1824
388	1159	1821
389	1163	1819
390	1165	1816
391	1168	1812
392	1171	1809
393	1173	1805
394	1177	1803
395	1180	1800
396	1182	1796
397	1185	1793
398	1188	1790
399	1191	1787
400	1194	1784
401	1197	1781
402	1200	1778
403	1203	1774
404	1205	1771
405	1208	1768
406	1211	1765
407	1213	1761
408	1216	1758
409	1219	1755
410	1222	1751
411	1225	1749
412	1228	1745
413	1231	1742
414	1234	1739
415	1237	1736
416	1240	1734
417	1243	1731
418	1246	1728
419	1249	1725
420	1252	1722
421	1255	1719
422	1258	1716
423	1261	1713
424	1264	1710
425	1267	1707
426	1271	1705
427	1275	1705
428	1279	1702
429	1281	1699
430	1284	1696
431	1287	1692
432	1290	1689
433	1293	1686
434	1296	1683
435	1298	1680
436	1301	1676
437	1304	1673
438	1307	1671
439	1310	1667
440	1313	1664
441	1316	1661
442	1319	1658
443	1321	1655
444	1324	1652
445	1327	1648
446	1329	1645
447	1332	1641
448	1335	1638
449	1338	1635
450	1340	1632
451	1343	1628
452	1346	1625
453	1349	1622
454	1352	1619
455	1355	1616
456	1357	1613
457	1360	1610
458	1363	1607
459	1366	1604
460	1369	1600
461	1372	1597
462	1375	1595
463	1378	1592
464	1381	1589
465	1383	1585
466	1386	1582
467	1389	1579
468	1392	1576
469	1395	1573
470	1397	1570
471	1400	1566
472	1403	1564
473	1406	1560
474	1409	1558
475	1412	1554
476	1414	1551
477	1417	1547
478	1420	1544
479	1422	1541
480	1425	1538
481	1428	1535
482	1431	1531
483	1433	1528
484	1436	1525
485	1439	1522
486	1442	1519
487	1444	1515
488	1447	1512
489	1450	1509
490	1452	1506
491	1455	1503
492	1458	1499
493	1461	1496
494	1463	1493
495	1466	1490
496	1469	1487
497	1472	1483
498	1474	1480
499	1477	1477
500	1479	1474
501	1482	1470
502	1485	1468
503	1488	1464
504	1491	1461
505	1493	1458
506	1496	1455
507	1499	1451
508	1501	1448
509	1505	1446
510	1507	1442
511	1510	1439
512	1512	1436
513	1515	1433
514	1518	1430
515	1521	1426
516	1523	1423
517	1526	1420
518	1529	1417
519	1531	1413
520	1534	1411
521	1537	1407
522	1540	1404
523	1542	1401
524	1545	1398
525	1549	1395
526	1551	1392
527	1554	1389
528	1557	1386
529	1560	1383
530	1563	1380
531	1566	1378
532	1569	1375
533	1572	1372
534	1575	1368
535	1577	1365
536	1580	1362
537	1583	1359
538	1586	1356
539	1589	1353
540	1591	1350
541	1594	1347
542	1597	1344
543	1599	1341
544	1602	1338
545	1605	1334
546	1608	1331
547	1610	1328
548	1613	1325
549	1616	1322
550	1619	1319
551	1621	1316
552	1624	1313
553	1627	1310
554	1630	1307
555	1633	1304
556	1635	1301
557	1638	1297
558	1641	1294
559	1643	1291
560	1646	1288
561	1648	1285
562	1651	1282
563	1654	1278
564	1657	1275
565	1659	1272
566	1662	1269
567	1665	1266
568	1668	1263
569	1671	1260
570	1674	1257
571	1676	1254
572	1679	1251
573	1682	1248
574	1684	1245
575	1687	1242
576	1690	1239
577	1692	1236
578	1695	1233
579	1699	1230
580	1701	1227
581	1704	1224
582	1707	1221
583	1710	1218
584	1713	1215
585	1716	1212
586	1718	1209
587	1721	1206
588	1724	1203
589	1727	1200
590	1730	1197
591	1732	1194
592	1735	1191
593	1738	1188
594	1740	1184
595	1743	1181
596	1747	1179
597	1750	1176
598	1753	1173
599	1756	1170
600	1759	1168
601	1762	1165
602	1765	1162
603	1768	1159
604	1771	1156
605	1774	1153
606	1776	1150
607	1780	1147
608	1782	1144
609	1785	1141
610	1787	1138
611	1790	1135
612	1793	1132
613	1796	1129
614	1799	1126
615	1802	1123
616	1805	1120
617	1807	1117
618	1810	1114
619	1813	1111
620	1815	1108
621	1818	1105
622	1821	1102
623	1824	1099
624	1827	1096
625	1829	1093
626	1832	1090
627	1834	1086
628	1837	1083
629	1840	1080
630	1842	1077
631	1845	1074
632	1847	1071
633	1850	1068
634	1852	1064
635	1855	1061
636	1857	1058
637	1860	1055
638	1862	1052
639	1865	1049
640	1867	1045
641	1869	1042
642	1872	1039
643	1874	1036
644	1877	1033
645	1880	1030
646	1882	1027
647	1884	1023
648	1887	1020
649	1890	1017
650	1892	1014
651	1895	1011
652	1898	1008
653	1900	1005
654	1903	1002
655	1905	999
656	1908	996
657	1910	993
658	1913	990
659	1915	986
660	1918	983
661	1920	980
662	1923	977
663	1925	974
664	1928	971
665	1930	968
666	1933	965
667	1936	962
668	1938	959
669	1941	956
670	1943	953
671	1946	950
672	1949	947
673	1951	944
674	1954	941
675	1957	938
676	1960	935
677	1964	932
678	1966	929
679	1969	926
680	1971	923
681	1974	920
682	1976	917
683	1979	914
684	1981	911
685	1984	908
686	1986	905
687	1989	902
688	1992	899
689	1994	896
690	1997	893
691	2000	890
692	2002	887
693	2004	884
694	2007	881
695	2010	878
696	2012	874
697	2015	871
698	2017	868
699	2019	865
700	2022	862
701	2025	859
702	2027	856
703	2030	853
704	2032	850
705	2035	847
706	2037	844
707	2040	841
708	2043	838
709	2045	835
710	2048	832
711	2051	829
712	2053	826
713	2056	823
714	2058	820
715	2061	817
716	2063	814
717	2066	811
718	2068	808
719	2070	805
720	2073	802
721	2075	799
722	2078	796
723	2080	793
724	2083	790
725	2085	787
726	2088	784
727	2091	781
728	2093	778
729	2096	775
730	2098	772
731	2101	769
732	2103	766
733	2106	763
734	2108	760
735	2111	757
736	2113	754
737	2116	751
738	2118	748
739	2120	745
740	2123	742
741	2126	739
742	2128	736
743	2130	733
744	2133	730
745	2135	727
746	2138	724
747	2141	721
748	2143	718
749	2146	715
750	2149	712
751	2152	709
752	2154	706
753	2157	703
754	2160	701
755	2162	698
756	2165	695
757	2167	692
758	2170	689
759	2173	686
760	2175	683
761	2178	680
762	2180	677
763	2183	674
764	2185	671
765	2188	668
766	2190	665
767	2193	662
768	2195	659
769	2198	656
770	2200	653
771	2203	650
772	2205	647
773	2208	644
774	2210	641
775	2213	638
776	2215	635
777	2218	632
778	2221	630
779	2224	627
780	2226	624
781	2229	621
782	2231	618
783	2234	615
784	2237	612
785	2239	609
786	2241	606
787	2244	603
788	2246	600
789	2249	597
790	2251	595
791	2254	592
792	2256	589
793	2259	586
794	2262	583
795	2264	580
796	2267	577
797	2269	574
798	2272	571
799	2275	568
800	2277	565
801	2279	562
802	2282	559
803	2285	557
804	2287	554
805	2290	551
806	2293	548
807	2295	545
808	2297	542
809	2300	539
810	2303	536
811	2305	533
812	2308	530
813	2310	527
814	2313	525
815	2315	522
816	2318	519
817	2320	516
818	2323	513
819	2325	510
820	2327	507
821	2330	504
822	2332	501
823	2335	498
824	2337	495
825	2340	493
826	2343	490
827	2346	487
828	2349	484
829	2351	481
830	2354	478
831	2356	475
832	2359	473
833	2362	470
834	2364	467
835	2367	464
836	2370	461
837	2373	458
838	2375	455
839	2377	452
840	2380	450
841	2383	447
842	2385	444
843	2388	441
844	2390	438
845	2393	435
846	2395	432
847	2397	429
848	2400	426
849	2403	424
850	2405	421
851	2407	418
852	2410	415
853	2412	412
854	2415	409
855	2417	406
856	2420	403
857	2422	400
858	2425	398
859	2427	395
860	2430	392
861	2433	389
862	2435	386
863	2438	383
864	2440	380
865	2443	378
866	2445	375
867	2448	372
868	2450	369
869	2453	366
870	2455	363
871	2458	360
872	2460	357
873	2463	355
874	2465	352
875	2468	349
876	2470	346
877	2473	343
878	2475	340
879	2478	337
880	2480	335
881	2483	332
882	2486	329
883	2488	326
884	2491	323
885	2493	320
886	2496	317
887	2498	315
888	2501	312
889	2503	309
890	2506	306
891	2508	303
892	2511	300
893	2513	298
894	2516	295
895	2518	292
896	2521	289
897	2523	286
898	2526	283
899	2528	280
900	2531	278
901	2533	275
902	2536	272
903	2538	269
904	2541	266
905	2544	263
906	2547	261
907	2549	258
908	2551	255
909	2554	252
910	2557	249
911	2560	247
912	2563	244
913	2566	241
914	2568	238
915	2571	235
916	2573	232
917	2576	230
918	2578	227
919	2581	224
920	2583	221
921	2586	218
922	2588	215
923	2591	213
924	2593	210
925	2596	207
926	2598	204
927	2601	201
928	2603	199
929	2606	196
930	2609	193
931	2611	190
932	2613	187
933	2616	184
934	2618	182
935	2621	179
936	2624	176
937	2627	173
938	2629	170
939	2632	168
940	2634	165
941	2637	162
942	2640	159
943	2642	156
944	2645	153
945	2648	151
946	2650	148
947	2653	145
948	2655	142
949	2658	139
950	2660	137
951	2663	134
952	2665	131
953	2668	128
954	2670	125
955	2673	123
956	2675	120
957	2678	117
958	2681	114
959	2683	111
960	2685	108
961	2688	106
962	2691	103
963	2694	100
964	2696	97
965	2699	95
966	2701	92
967	2703	89
968	2706	86
969	2708	83
970	2711	80
971	2713	78
972	2716	75
973	2718	72
974	2721	69
975	2723	66
976	2725	64
977	2728	61
978	2730	58
979	2732	55
980	2735	52
981	2737	50
982	2739	47
983	2742	44
984	2745	41
985	2748	39
986	2750	36
987	2753	33
988	2756	30
989	2759	27
990	2762	25
991	2764	22
992	2766	19
993	2769	16
994	2771	13
995	2773	11
996	2776	8
997	2778	5
998	2781	2
999	2783	0
